graph_name,strategy,order,result_matches_reference,total_subpomis_calls,total_ib_evaluations,total_pruned_branches,computation_time,max_recursion_depth,mean_recursion_depth,final_pomis_set_size,final_pomis_set_hash
XYZWST,complete_000,"('Y', 'X', 'Z', 'W', 'S', 'T')",True,2,5,2,0.0002009868621826172,2,1.5,3,-834731615939924983
XYZWST,complete_001,"('Y', 'W', 'X', 'Z', 'S', 'T')",True,2,5,2,6.794929504394531e-05,2,1.5,3,-834731615939924983
XYZWST,complete_002,"('Y', 'X', 'W', 'Z', 'S', 'T')",True,2,5,2,7.486343383789062e-05,2,1.5,3,-834731615939924983
XYZWST,complete_003,"('Y', 'W', 'S', 'X', 'Z', 'T')",True,2,5,2,0.00042319297790527344,2,1.5,3,-834731615939924983
XYZWST,complete_004,"('Y', 'X', 'W', 'S', 'Z', 'T')",True,2,5,2,6.29425048828125e-05,2,1.5,3,-834731615939924983
XYZWST,complete_005,"('Y', 'W', 'X', 'S', 'Z', 'T')",True,2,5,2,5.91278076171875e-05,2,1.5,3,-834731615939924983
XYZWST,complete_006,"('Y', 'X', 'T', 'Z', 'W', 'S')",True,2,5,2,5.7220458984375e-05,2,1.5,3,-834731615939924983
XYZWST,complete_007,"('Y', 'X', 'Z', 'T', 'W', 'S')",True,2,5,2,6.198883056640625e-05,2,1.5,3,-834731615939924983
XYZWST,complete_008,"('Y', 'W', 'X', 'T', 'Z', 'S')",True,2,5,2,9.298324584960938e-05,2,1.5,3,-834731615939924983
XYZWST,complete_009,"('Y', 'X', 'W', 'T', 'Z', 'S')",True,2,5,2,6.079673767089844e-05,2,1.5,3,-834731615939924983
XYZWST,complete_010,"('Y', 'X', 'T', 'W', 'Z', 'S')",True,2,5,2,5.793571472167969e-05,2,1.5,3,-834731615939924983
XYZWST,complete_011,"('Y', 'X', 'Z', 'W', 'T', 'S')",True,2,5,2,6.175041198730469e-05,2,1.5,3,-834731615939924983
XYZWST,complete_012,"('Y', 'W', 'X', 'Z', 'T', 'S')",True,2,5,2,6.103515625e-05,2,1.5,3,-834731615939924983
XYZWST,complete_013,"('Y', 'X', 'W', 'Z', 'T', 'S')",True,2,5,2,6.4849853515625e-05,2,1.5,3,-834731615939924983
XYZWST,complete_014,"('Y', 'W', 'S', 'X', 'T', 'Z')",True,2,5,2,0.00010323524475097656,2,1.5,3,-834731615939924983
XYZWST,complete_015,"('Y', 'X', 'W', 'S', 'T', 'Z')",True,2,5,2,6.389617919921875e-05,2,1.5,3,-834731615939924983
XYZWST,complete_016,"('Y', 'W', 'X', 'S', 'T', 'Z')",True,2,5,2,6.198883056640625e-05,2,1.5,3,-834731615939924983
XYZWST,complete_017,"('Y', 'X', 'T', 'W', 'S', 'Z')",True,2,5,2,5.984306335449219e-05,2,1.5,3,-834731615939924983
XYZWST,complete_018,"('Y', 'W', 'X', 'T', 'S', 'Z')",True,2,5,2,5.602836608886719e-05,2,1.5,3,-834731615939924983
XYZWST,complete_019,"('Y', 'X', 'W', 'T', 'S', 'Z')",True,2,5,2,8.988380432128906e-05,2,1.5,3,-834731615939924983
XYZW,complete_000,"('Y', 'X', 'Z', 'W')",True,2,5,2,0.00011229515075683594,2,1.5,3,-1473940958930692460
XYZW,complete_001,"('Y', 'W', 'X', 'Z')",True,2,5,2,3.2901763916015625e-05,2,1.5,3,-1473940958930692460
XYZW,complete_002,"('Y', 'X', 'W', 'Z')",True,2,5,2,2.9802322387695312e-05,2,1.5,3,-1473940958930692460
IV,complete_000,"('Y', 'X', 'Z')",True,1,2,0,5.888938903808594e-05,1,1.0,2,4471521719591864981
simple_markovian,complete_000,"('Y', 'X1', 'X2', 'Z1', 'Z2')",True,1,1,0,3.981590270996094e-05,1,1.0,1,-4978528352158845644
simple_markovian,complete_001,"('Y', 'X2', 'X1', 'Z1', 'Z2')",True,1,1,0,2.1219253540039062e-05,1,1.0,1,-4978528352158845644
simple_markovian,complete_002,"('Y', 'X1', 'X2', 'Z2', 'Z1')",True,1,1,0,2.193450927734375e-05,1,1.0,1,-4978528352158845644
simple_markovian,complete_003,"('Y', 'X2', 'X1', 'Z2', 'Z1')",True,1,1,0,2.09808349609375e-05,1,1.0,1,-4978528352158845644
