graph_name,strategy,order,result_matches_reference,total_subpomis_calls,total_ib_evaluations,total_pruned_branches,computation_time,max_recursion_depth,mean_recursion_depth,final_pomis_set_size,final_pomis_set_hash
XYZWST,default,"('Y', 'X', 'W', 'T', 'S', 'Z')",True,2,5,2,0.0004570484161376953,2,1.5,3,543165207985245581
XYZWST,random,"('Y', 'X', 'W', 'T', 'S', 'Z')",True,2,5,2,6.699562072753906e-05,2,1.5,3,543165207985245581
XYZWST,bfs,"('T', 'W', 'S', 'Y', 'X', 'Z')",True,2,5,2,6.413459777832031e-05,2,1.5,3,543165207985245581
XYZWST,reverse,"('Z', 'S', 'T', 'W', 'X', 'Y')",True,2,5,2,9.703636169433594e-05,2,1.5,3,543165207985245581
XYZWST,random_00,"('Y', 'X', 'W', 'S', 'Z', 'T')",True,2,5,2,6.341934204101562e-05,2,1.5,3,543165207985245581
XYZWST,random_01,"('Y', 'X', 'T', 'Z', 'W', 'S')",True,2,5,2,5.91278076171875e-05,2,1.5,3,543165207985245581
XYZWST,random_02,"('Y', 'X', 'Z', 'W', 'T', 'S')",True,2,5,2,6.413459777832031e-05,2,1.5,3,543165207985245581
XYZWST,random_03,"('Y', 'X', 'W', 'T', 'Z', 'S')",True,2,5,2,6.604194641113281e-05,2,1.5,3,543165207985245581
XYZWST,random_04,"('Y', 'X', 'Z', 'T', 'W', 'S')",True,2,5,2,7.104873657226562e-05,2,1.5,3,543165207985245581
XYZWST,random_05,"('Y', 'W', 'S', 'X', 'T', 'Z')",True,2,5,2,0.00010180473327636719,2,1.5,3,543165207985245581
XYZWST,random_06,"('Y', 'W', 'X', 'T', 'S', 'Z')",True,2,5,2,6.508827209472656e-05,2,1.5,3,543165207985245581
XYZWST,random_07,"('Y', 'X', 'W', 'T', 'S', 'Z')",True,2,5,2,5.698204040527344e-05,2,1.5,3,543165207985245581
XYZWST,random_08,"('Y', 'X', 'W', 'S', 'T', 'Z')",True,2,5,2,5.817413330078125e-05,2,1.5,3,543165207985245581
XYZWST,random_09,"('Y', 'W', 'X', 'T', 'Z', 'S')",True,2,5,2,5.888938903808594e-05,2,1.5,3,543165207985245581
XYZW,default,"('Y', 'X', 'Z', 'W')",True,1,4,1,0.00012493133544921875,1,1.0,3,-727250176594689379
XYZW,random,"('Y', 'X', 'Z', 'W')",True,1,4,1,2.6941299438476562e-05,1,1.0,3,-727250176594689379
XYZW,bfs,"('X', 'Z', 'Y', 'W')",True,1,4,1,2.4080276489257812e-05,1,1.0,3,-727250176594689379
XYZW,reverse,"('W', 'Z', 'X', 'Y')",True,1,4,1,2.288818359375e-05,1,1.0,3,-727250176594689379
XYZW,random_00,"('Y', 'W', 'X', 'Z')",True,1,4,1,2.6226043701171875e-05,1,1.0,3,-727250176594689379
XYZW,random_01,"('Y', 'X', 'W', 'Z')",True,1,4,1,2.384185791015625e-05,1,1.0,3,-727250176594689379
XYZW,random_02,"('Y', 'X', 'Z', 'W')",True,1,4,1,2.4080276489257812e-05,1,1.0,3,-727250176594689379
IV,default,"('Y', 'X', 'Z')",True,1,2,0,6.031990051269531e-05,1,1.0,2,-8926488831919158408
IV,random,"('Y', 'X', 'Z')",True,1,2,0,1.811981201171875e-05,1,1.0,2,-8926488831919158408
IV,dfs,"('Y', 'X', 'Z')",True,1,2,0,1.71661376953125e-05,1,1.0,2,-8926488831919158408
IV,bfs,"('Y', 'X', 'Z')",True,1,2,0,1.5020370483398438e-05,1,1.0,2,-8926488831919158408
IV,reverse,"('Z', 'X', 'Y')",True,1,2,0,1.5735626220703125e-05,1,1.0,2,-8926488831919158408
IV,random_00,"('Y', 'X', 'Z')",True,1,2,0,4.9114227294921875e-05,1,1.0,2,-8926488831919158408
simple_markovian,default,"('Y', 'X1', 'X2', 'Z2', 'Z1')",True,1,1,0,4.601478576660156e-05,1,1.0,1,7245281046164549667
simple_markovian,random,"('Y', 'X1', 'X2', 'Z2', 'Z1')",True,1,1,0,2.3126602172851562e-05,1,1.0,1,7245281046164549667
simple_markovian,bfs,"('Z2', 'Y', 'X1', 'X2', 'Z1')",True,1,1,0,1.9788742065429688e-05,1,1.0,1,7245281046164549667
simple_markovian,reverse,"('Z1', 'Z2', 'X2', 'X1', 'Y')",True,1,1,0,1.8835067749023438e-05,1,1.0,1,7245281046164549667
simple_markovian,random_00,"('Y', 'X2', 'X1', 'Z1', 'Z2')",True,1,1,0,2.09808349609375e-05,1,1.0,1,7245281046164549667
simple_markovian,random_01,"('Y', 'X1', 'X2', 'Z1', 'Z2')",True,1,1,0,1.8835067749023438e-05,1,1.0,1,7245281046164549667
simple_markovian,random_02,"('Y', 'X2', 'X1', 'Z2', 'Z1')",True,1,1,0,1.8835067749023438e-05,1,1.0,1,7245281046164549667
simple_markovian,random_03,"('Y', 'X1', 'X2', 'Z2', 'Z1')",True,1,1,0,1.9073486328125e-05,1,1.0,1,7245281046164549667
