graph,metric,min,median,max,mean,std
XYZWST,total_subpomis_calls,2.0,2.0,2.0,2.0,0.0
XYZWST,total_ib_evaluations,5.0,5.0,5.0,5.0,0.0
XYZWST,total_pruned_branches,2.0,2.0,2.0,2.0,0.0
XYZWST,computation_time,5.698204040527344e-05,6.461143493652344e-05,0.0004570484161376953,9.642328534807478e-05,0.00010469270756080343
XYZWST,max_recursion_depth,2.0,2.0,2.0,2.0,0.0
XYZW,total_subpomis_calls,1.0,1.0,1.0,1.0,0.0
XYZW,total_ib_evaluations,4.0,4.0,4.0,4.0,0.0
XYZW,total_pruned_branches,1.0,1.0,1.0,1.0,0.0
XYZW,computation_time,2.288818359375e-05,2.4080276489257812e-05,0.00012493133544921875,3.8998467581612726e-05,3.7919513035734555e-05
XYZW,max_recursion_depth,1.0,1.0,1.0,1.0,0.0
IV,total_subpomis_calls,1.0,1.0,1.0,1.0,0.0
IV,total_ib_evaluations,2.0,2.0,2.0,2.0,0.0
IV,total_pruned_branches,0.0,0.0,0.0,0.0,0.0
IV,computation_time,1.5020370483398438e-05,1.7642974853515625e-05,6.031990051269531e-05,2.9246012369791668e-05,2.0074598955721874e-05
IV,max_recursion_depth,1.0,1.0,1.0,1.0,0.0
simple_markovian,total_subpomis_calls,1.0,1.0,1.0,1.0,0.0
simple_markovian,total_ib_evaluations,1.0,1.0,1.0,1.0,0.0
simple_markovian,total_pruned_branches,0.0,0.0,0.0,0.0,0.0
simple_markovian,computation_time,1.8835067749023438e-05,1.9431114196777344e-05,4.601478576660156e-05,2.3186206817626953e-05,9.344713591267211e-06
simple_markovian,max_recursion_depth,1.0,1.0,1.0,1.0,0.0
