graph_name,strategy,order,result_matches_reference,total_subpomis_calls,total_ib_evaluations,total_pruned_branches,computation_time,max_recursion_depth,mean_recursion_depth,final_pomis_set_size,final_pomis_set_hash
XYZWST,default,"('Y', 'X', 'W', 'T', 'S', 'Z')",True,2,5,2,0.0004978179931640625,2,1.5,3,6686121850584406645
XYZWST,random,"('Y', 'X', 'W', 'T', 'S', 'Z')",True,2,5,2,7.319450378417969e-05,2,1.5,3,6686121850584406645
XYZWST,bfs,"('T', 'W', 'S', 'Y', 'X', 'Z')",True,2,5,2,6.198883056640625e-05,2,1.5,3,6686121850584406645
XYZWST,reverse,"('Z', 'S', 'T', 'W', 'X', 'Y')",True,2,5,2,9.679794311523438e-05,2,1.5,3,6686121850584406645
XYZWST,random_00,"('Y', 'X', 'W', 'S', 'T', 'Z')",True,2,5,2,6.103515625e-05,2,1.5,3,6686121850584406645
XYZWST,random_01,"('Y', 'W', 'X', 'S', 'Z', 'T')",True,2,5,2,5.7697296142578125e-05,2,1.5,3,6686121850584406645
XYZWST,random_02,"('Y', 'W', 'X', 'T', 'S', 'Z')",True,2,5,2,6.508827209472656e-05,2,1.5,3,6686121850584406645
XYZWST,random_03,"('Y', 'W', 'X', 'T', 'Z', 'S')",True,2,5,2,6.389617919921875e-05,2,1.5,3,6686121850584406645
XYZWST,random_04,"('Y', 'X', 'W', 'Z', 'T', 'S')",True,2,5,2,6.794929504394531e-05,2,1.5,3,6686121850584406645
XYZW,default,"('Y', 'X', 'Z', 'W')",True,1,4,1,9.703636169433594e-05,1,1.0,3,-6019847273032854307
XYZW,random,"('Y', 'X', 'Z', 'W')",True,1,4,1,2.7894973754882812e-05,1,1.0,3,-6019847273032854307
XYZW,bfs,"('X', 'Z', 'Y', 'W')",True,1,4,1,2.6702880859375e-05,1,1.0,3,-6019847273032854307
XYZW,reverse,"('W', 'Z', 'X', 'Y')",True,1,4,1,2.5033950805664062e-05,1,1.0,3,-6019847273032854307
XYZW,random_00,"('Y', 'W', 'X', 'Z')",True,1,4,1,2.384185791015625e-05,1,1.0,3,-6019847273032854307
XYZW,random_01,"('Y', 'X', 'W', 'Z')",True,1,4,1,2.4080276489257812e-05,1,1.0,3,-6019847273032854307
XYZW,random_02,"('Y', 'X', 'Z', 'W')",True,1,4,1,2.384185791015625e-05,1,1.0,3,-6019847273032854307
IV,default,"('Y', 'X', 'Z')",True,1,2,0,5.698204040527344e-05,1,1.0,2,-3441073804352075347
IV,random,"('Y', 'X', 'Z')",True,1,2,0,1.9311904907226562e-05,1,1.0,2,-3441073804352075347
IV,dfs,"('Y', 'X', 'Z')",True,1,2,0,1.5974044799804688e-05,1,1.0,2,-3441073804352075347
IV,bfs,"('Y', 'X', 'Z')",True,1,2,0,1.5974044799804688e-05,1,1.0,2,-3441073804352075347
IV,reverse,"('Z', 'X', 'Y')",True,1,2,0,4.696846008300781e-05,1,1.0,2,-3441073804352075347
IV,random_00,"('Y', 'X', 'Z')",True,1,2,0,1.5020370483398438e-05,1,1.0,2,-3441073804352075347
simple_markovian,default,"('Y', 'X1', 'X2', 'Z2', 'Z1')",True,1,1,0,4.506111145019531e-05,1,1.0,1,3873202172831243764
simple_markovian,random,"('Y', 'X1', 'X2', 'Z2', 'Z1')",True,1,1,0,2.288818359375e-05,1,1.0,1,3873202172831243764
simple_markovian,bfs,"('Z2', 'Y', 'X1', 'X2', 'Z1')",True,1,1,0,2.193450927734375e-05,1,1.0,1,3873202172831243764
simple_markovian,reverse,"('Z1', 'Z2', 'X2', 'X1', 'Y')",True,1,1,0,1.8835067749023438e-05,1,1.0,1,3873202172831243764
simple_markovian,random_00,"('Y', 'X2', 'X1', 'Z1', 'Z2')",True,1,1,0,2.002716064453125e-05,1,1.0,1,3873202172831243764
simple_markovian,random_01,"('Y', 'X1', 'X2', 'Z1', 'Z2')",True,1,1,0,1.8835067749023438e-05,1,1.0,1,3873202172831243764
simple_markovian,random_02,"('Y', 'X2', 'X1', 'Z2', 'Z1')",True,1,1,0,1.8835067749023438e-05,1,1.0,1,3873202172831243764
simple_markovian,random_03,"('Y', 'X1', 'X2', 'Z2', 'Z1')",True,1,1,0,1.9788742065429688e-05,1,1.0,1,3873202172831243764
