graph,metric,min,median,max,mean,std
XYZWST,total_subpomis_calls,2.0,2.0,2.0,2.0,0.0
XYZWST,total_ib_evaluations,5.0,5.0,5.0,5.0,0.0
XYZWST,total_pruned_branches,2.0,2.0,2.0,2.0,0.0
XYZWST,computation_time,5.7697296142578125e-05,6.508827209472656e-05,0.000497817993164,0.00011616282992892101,0.00014358751641100625
XYZWST,max_recursion_depth,2.0,2.0,2.0,2.0,0.0
XYZW,total_subpomis_calls,1.0,1.0,1.0,1.0,0.0
XYZW,total_ib_evaluations,4.0,4.0,4.0,4.0,0.0
XYZW,total_pruned_branches,1.0,1.0,1.0,1.0,0.0
XYZW,computation_time,2.384185791015625e-05,2.5033950805664062e-05,9.703636169433594e-05,3.5490308489118305e-05,2.7183701327682103e-05
XYZW,max_recursion_depth,1.0,1.0,1.0,1.0,0.0
IV,total_subpomis_calls,1.0,1.0,1.0,1.0,0.0
IV,total_ib_evaluations,2.0,2.0,2.0,2.0,0.0
IV,total_pruned_branches,0.0,0.0,0.0,0.0,0.0
IV,computation_time,1.5020370483398438e-05,1.7642974853515625e-05,5.698204040527344e-05,2.8371810913085938e-05,1.8612536955109273e-05
IV,max_recursion_depth,1.0,1.0,1.0,1.0,0.0
simple_markovian,total_subpomis_calls,1.0,1.0,1.0,1.0,0.0
simple_markovian,total_ib_evaluations,1.0,1.0,1.0,1.0,0.0
simple_markovian,total_pruned_branches,0.0,0.0,0.0,0.0,0.0
simple_markovian,computation_time,1.883506774902344e-05,1.990795135498047e-05,4.506111145019531e-05,2.327561378479004e-05,8.93166630959132e-06
simple_markovian,max_recursion_depth,1.0,1.0,1.0,1.0,0.0
